Label,Province,ChinaDigitalIndex,Rank
北京,北京,35.7336,1
深圳,广东,27.2506,2
上海,上海,25.9412,3
广州,广东,24.944,4
成都,四川,14.4048,5
重庆,重庆,12.0758,6
东莞,广东,10.9979,7
长沙,湖南,9.3968,8
郑州,河南,9.2098,9
杭州,浙江,9.1422,10
西安,陕西,8.9927,11
苏州,江苏,8.7673,12
武汉,湖北,8.5142,13
佛山,广东,8.1598,14
南京,江苏,7.036,15
天津,天津,7.0081,16
济南,山东,5.5425,17
青岛,山东,5.442,18
福州,福建,5.4238,19
昆明,云南,5.2784,20
石家庄,河北,5.1954,21
厦门,福建,5.1555,22
沈阳,辽宁,5.1501,23
宁波,浙江,5.0884,24
合肥,安微,4.9977,25
南宁,广西,4.6778,26
温州,浙江,4.659,27
泉州,福避,4.6481,28
惠州,广东,4.4653,29
中山,广东,4.1329,30
哈尔滨,黑龙江,4.033,31
无锡,江苏,3.991,32
南昌,江西,3.9031,33
金华,浙江,3.811,34
长春,吉林,3.6883,35
贵阳,贵州,3.5611,36
潍坊,山东,3.5185,37
太原,山西,3.43,38
保定,河北,3.3748,39
大连,辽宁,3.2865,40
临沂,山东,2.9894,41
汕头,广东,2.9403,42
常州,江苏,2.8672,43
徐州,江苏,2.8367,44
南通,江苏,2.7969,45
江门,广东,2.7842,46
嘉兴,浙江,2.7073,47
台州,浙江,2.6858,48
珠海,广东,2.6855,49
湛江,广东,2.665,50
海口,海南,2.6648,51
兰州,甘肃,2.6588,52
廊坊,河北,2.645,53
邯郸,河北,2.6269,54
赣州,江西,2.4869,55
茂名,广东,2.4113,56
唐山,河北,2.3905,57
肇庆,广东,2.3529,58
烟台,山东,2.3233,59
沧州,河北,2.279,60
揭阳,广东,2.2204,61
绍兴,浙江,2.1808,62
清远,广东,2.1799,63
洛阳,河南,2.1499,64
济宁,山东,2.1369,65
漳州,福建,2.0998,66
南阳,河南,1.9788,67
盐城,江苏,1.9712,68
乌鲁木齐,新疆,1.8667,69
梅州,广东,1.8191,70
衡阳,湖南,1.8132,71
菏泽,山东,1.7863,72
邢台,河北,1.7795,73
河源,广东,1.7629,74
遵义,贵州,1.7579,75
呼和浩特,内蒙古,1.7578,76
安阳,河南,1.7414,77
岳阳,湖南,1.7355,78
株洲,湖南,1.7132,79
新乡,河南,1.7104,80
聊城,山东,1.7092,81
商丘,河南,1.6757,82
泰州,江苏,1.6544,83
扬州,江苏,1.654,84
绵阳,四川,1.6357,85
宿迁,江苏,1.624,86
开封,河南,1.5955,87
蒲田,福建,1.586,88
韶关,广东,1.585,89
咸阳,陕西,1.5763,90
淮安,江苏,1.5727,91
常德,湖南,1.4877,92
银川,宁夏,1.4794,93
连云港,江苏,1.4684,94
阳江,广东,1.4615,95
湖州,浙江,1.4561,96
柳州,广西,1.4448,97
淄博,山东,1.4436,98
邵阳,湖南,1.4383,99
郴州,湖南,1.4334,100
周口,河南,1.4297,101
潮州,广东,1.4065,102
上饶,江西,1.4051,103
云浮,广东,1.404,104
运城,山西,1.4034,105
许昌,河南,1.3739,106
镇江,江苏,1.3536,107
龙岩,福建,1.3415,108
湘潭,湖南,1.3235,109
信阳,河南,1.3168,110
桂林,广西,1.3112,111
宜昌,湖北,1.3111,112
阜阳,安徽,1.3055,113
泰安,山东,1.3046,114
德阳,四川,1.2948,115
德州,山东,1.2707,116
驻马店,河南,1.2697,117
南充,四川,1.2629,118
汕尾,广东,1.2564,119
威海,山东,1.2501,120
渭南,陕西,1.2424,121
宁德,福建,1.2279,122
九江,江西,1.2251,123
玉林,广西,1.2237,124
西宁,青海,1.2215,125
滨州,山东,1.2079,126
襄阳,湖北,1.2071,127
吉林,吉林,1.2,128
泸州,四川,1.1807,129
焦作,河南,1.177,130
榆林,陕西,1.1718,131
宜宾,四川,1.1615,132
秦皇岛,河北,1.149,133
宜春,江西,1.1447,134
枣庄,山东,1.1432,135
达州,四川,1.1324,136
怀化,湖南,1.1213,137
荆州,湖北,1.1212,138
宝鸡,陕西,1.1134,139
日照,山东,1.1126,140
娄底,湖南,1.1109,141
益阳,湖南,1.1096,142
三明,福建,1.1028,143
长治,山西,1.095,144
临汾,山西,1.0769,145
永州,湖南,1.076,146
平顶山,河南,1.0755,147
张家口,河北,1.068,148
衡水,河北,1.0622,149
包头,内蒙古,1.0594,150
南平,福建,1.0587,151
黄冈,湖北,1.0582,152
乐山,四川,1.0552,153
晋中,山西,1.0342,154
丽水,浙江,1.021,155
濮阳,河南,1.0195,156
孝感,湖北,1.0098,157
大庆,黑龙江,0.9918,158
东营,山东,0.9912,159
吉安,江西,0.987,160
芜湖,安徽,0.9834,161
吕梁,山西,0.983,162
赤峰,内蒙古,0.9359,163
晋城,山西,0.9321,164
贵港,广西,0.9291,165
三亚,海南,0.9278,166
十堰,湖北,0.9242,167
宿州,安徽,0.9189,168
鞍山,辽宁,0.9136,169
曲靖,云南,0.9009,170
眉山,四川,0.8917,171
黔南,贵州,0.8864,172
安庆,安徽,0.8759,173
承德,河北,0.8649,174
滁州,安徽,0.8599,175
大同,山西,0.8573,176
衢州,浙江,0.8526,177
毫州,安徽,0.851,178
抚州,江西,0.8427,179
延安,陕西,0.8339,180
玉溪,云南,0.8195,181
蚌埠,安徽,0.8068,182
黔东南,贵州,0.8058,183
百色,广西,0.798,184
钦州,广西,0.7948,185
鄂尔多斯,内蒙古,0.7918,186
梧州,广西,0.7911,187
恩施,湖北,0.7902,188
凉山,四川,0.7894,189
齐齐哈尔,黑龙江,0.7822,190
通辽,内蒙古,0.7713,191
六安,安徽,0.7652,192
汉中,陕西,0.7618,193
红河,云南,0.7571,194
遂宁,四川,0.7553,195
马鞍山,安徽,0.7524,196
广安,四川,0.751,197
内江,四川,0.7412,198
河池,广西,0.7375,199
六盘水,贵州,0.7355,200
锦州,辽宁,0.7351,201
营口,辽宁,0.7333,202
毕节,贵州,0.7247,203
自贡,四川,0.7228,204
大理,云南,0.7107,205
北海,广西,0.7072,206
绥化,黑龙江,0.7058,207
呼伦贝尔,内蒙古,0.7023,208
葫芦岛,辽宁,0.7013,209
黄石,湖北,0.7009,210
漯河,河南,0.6855,211
湘西,湖南,0.6827,212
黔西南,贵州,0.678,213
四平,吉林,0.6739,214
安顺,贵州,0.6709,215
昭通,云南,0.6676,216
萍乡,江西,0.6652,217
广元,四川,0.6633,218
咸宁,湖北,0.6501,219
忻州,山西,0.6498,220
巴中,四川,0.6489,221
三门峡,河南,0.6468,222
舟山,浙江,0.6452,223
张家界,湖南,0.6369,224
荆门,湖北,0.6347,225
安康,陕西,0.6344,226
丹东,辽宁,0.6339,227
佳木斯,黑龙江,0.6105,228
资阳,四川,0.6104,229
巴彦淖尔,内蒙古,0.5991,230
牡丹江,黑龙江,0.5916,231
白城,吉林,0.5885,232
朝阳,辽宁,0.5799,233
延边,吉林,0.5798,234
通化,吉林,0.577,235
天水,甘肃,0.576,236
松原,吉林,0.5754,237
淮南,安徽,0.5726,238
保山,云南,0.5722,239
铁岭,辽宁,0.5679,240
铜仁,贵州,0.5662,241
庆阳,甘肃,0.5596,242
宣城,安徽,0.5583,243
乌海,内蒙古,0.5567,244
伊犁,新疆,0.5566,245
攀枝花,四川,0.5523,246
文山,云南,0.546,247
鹤壁,河南,0.5423,248
盘锦,辽宁,0.54,249
景德镇,江西,0.5399,250
铜陵,安徽,0.5387,251
酒泉,甘肃,0.5311,252
抚顺,辽宁,0.5305,253
来宾,广西,0.5302,254
贺州,广西,0.5283,255
平凉,甘肃,0.5258,256
雅安,四川,0.5248,257
张掖,甘肃,0.5242,258
莱芜,山东,0.5226,259
辽阳,辽宁,0.521,260
淮北,安徽,0.5028,261
昌吉,新疆,0.5015,262
乌兰察布,内蒙古,0.5012,263
阜新,辽宁,0.4958,264
定西,甘肃,0.4938,265
随州,湖北,0.4914,266
崇左,广西,0.4858,267
黄山,安徽,0.4839,268
楚雄,云南,0.4832,269
丽江,云南,0.4809,270
陇南,甘肃,0.4778,271
商洛,陕西,0.4715,272
吴忠,宁夏,0.4664,273
铜川,陕西,0.4577,274
新余,江西,0.4539,275
阳泉,山西,0.4537,276
白山,吉林,0.4534,277
巴音郭楞,新疆,0.452,278
兴安,内蒙古,0.4504,279
防城港,广西,0.4475,280
白银,甘肃,0.4466,281
武威,甘肃,0.4455,282
临夏,甘肃,0.4419,283
拉萨,西藏,0.4408,284
本溪,辽宁,0.439,285
朔州,山西,0.4363,286
西双版纳,云南,0.43,287
鹰潭,江西,0.4296,288
喀什,新疆,0.4221,289
鸡西,黑龙江,0.4168,290
黑河,黑龙江,0.4112,291
锡林郭勒,内蒙古,0.4091,292
阿克苏,新疆,0.4009,293
临沧,云南,0.3979,294
固原,宁夏,0.3927,295
池州,安徽,0.3793,296
阿坝,四川,0.3723,297
嘉峪关,甘肃,0.3658,298
甘孜,四川,0.3614,299
辽源,吉林,0.3608,300
双鸭山,黑龙江,0.3574,301
儋州,海南,0.3559,302
鄂州,湖北,0.3476,303
德宏,云南,0.3471,304
石嘴山,宁夏,0.3402,305
塔城,新疆,0.3349,306
文昌,海南,0.3243,307
琼海,海南,0.3193,308
五指山,海南,0.3177,309
克拉玛依,新疆,0.3174,310
鹤岗,黑龙江,0.3156,311
海西,青海,0.3099,312
定安,海南,0.3088,313
伊春,黑龙江,0.3084,314
屯昌,海南,0.3068,315
中卫,宁夏,0.3063,316
万宁,海南,0.299,317
阿拉善,内蒙古,0.2985,318
七台河,黑龙江,0.2959,319
澄迈,海南,0.2947,320
临高,海南,0.2884,321
金昌,甘肃,0.2816,322
和田,新疆,0.2754,323
东方,海南,0.2739,324
甘南,甘肃,0.2704,325
阿勒泰,新疆,0.2673,326
大兴安岭,黑龙江,0.257,327
哈密,新疆,0.2484,328
博尔塔拉,新疆,0.2459,329
海东,青海,0.2355,330
济源,河南,0.2277,331
吐鲁番,新疆,0.2245,332
石河子,新疆,0.224,333
仙桃,湖北,0.2154,334
怒江,云南,0.2022,335
迪庆,云南,0.2002,336
潜江,湖北,0.1946,337
克孜勒苏柯,新疆,0.1875,338
林芝,西藏,0.1832,339
日喀则,西藏,0.1826,340
天门,湖北,0.1817,341
海南,青海,0.1791,342
海北,青海,0.1773,343
昌都,西藏,0.1723,344
山南,西藏,0.1693,345
那曲,西藏,0.1653,346
玉树,青海,0.1579,347
阿里,西藏,0.1548,348
黄南,青海,0.1535,349
果洛,青海,0.1458,350
神农架,湖北,0.1125,351
